article_id	title	source_id	source	from	to	keywords	author_no	1st_author	date	no_refs	abstract
acm721078	An Operator Interaction Framework for Visualization Systems	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization	63	70	information visualization, operators, user interactions,view/value, framework, spreadsheet, design, extensibility, visualization systems	2	P74503	10-19-1998	31	Information visualization encounters a wide variety of different data domains. The visualization community has developed representation methods and interactive techniques. As a community, we have realized that the requirements in each domain are often dramatically different. In order to easily apply existing methods, researchers have developed a semiology of graphic representations. We have extended this research into a framework that includes operators and interactions in visualization systems, such as a visualization spreadsheet. We discuss properties of this framework and use it to characterize operations spanning a variety of different visualization techniques. The framework developed in this paper enables a new way of exploring and evaluating the design space of visualization operators, and helps end--users in their analysis tasks.
acm721080	IVORY - An Object-Oriented Framework for Physics-Based Information Visualization in Java	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization	79	86	three-dimensional information visualization, physics-based graph layout, object-oriented visualization toolkit, multidimensional information modeling, time varying data	4	P317481	10-19-1998	13	We present IVORY, a newly developed, platform-independent framework for physics-based visualization. IVORY is especially designed for information visualization applications and multidimensional graph layout. It is fully implemented in Java 1.1 and its architecture features client-server setup, which allows to run the visualization even on thin clients. In addition, VRML 2.0 exports can be viewed by any VRML plugged-in WWW-browser. Individual visual metaphors are invoked into IVORY via an advanced plug-in mechanism, where plug-ins can be implemented by any experienced user. The configuration of IVORY is accomplished using a script language, called IVML. Some interactive visualization examples, such as the integration of an haptic interface illustrate the performance and versatility of our system. Our current implementation supports NT 4.0
acm721083	The Shape of Shakespeare: Visualizing Text using Implicit Surfaces	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization	121	129	blobby models, document clustering, graphics, implicit surface modeling, information retrieval, information visualization, procedural visualization, text visualization, user interfaces	3	P422521	10-19-1998	23	Information visualization focuses on the use of visual means for exploring non-visual information. While free-form text is a rich, common source of information, visualization of text is a challenging problem since text is inherently non-spatial. This paper explores the use of implicit surface models for visualizing text. We describe several techniques for text visualization that aid in understanding document content and document relationships. A simple method is defined for mapping document content to shape. By comparing the shapes of multiple documents, global content similarities and differences may be noted. In addition, we describe a visual clustering method in which documents are arranged in 3D based upon similarity scoring. Documents deemed closely related blend together as a single connected shape. Hence, a document corpus becomes a collection of shapes that reflect inter-document relationships. These techniques provide methods to visualize individual documents as well as corpus meta-data. We then combine the two techniques to produce transparent clusters enclosing individual document shapes. This provides a way to visualize both local and global contextual information. Finally, we elaborate on several potential applications of these methods.
acm721210	Dynamic Aggregation with Circular Visual Designs	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization	35	43	null	1	P195636	10-19-1998	12	One very effective method for managing large data sets is aggregation or binning. In this paper we consider two aggregation methods that are tightly coupled with interactive manipulation and the visual representation of the data. Through this integration we hope to provide effective support for the aggregation process, specifically by enabling: 1) automatic aggregation, 2) continuous change and control of the aggregation level, 3) spatially based aggregates, 4) context maintenance across different aggregate levels, and 5) feedback on the level of aggregation.
acm721213	Comparative Visualization of Protein Structure-Sequence Alignments	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization	106	null	proteins, structure, alignment, fold recognition, threading, similarity, glyphs, streamlines, ribbons, amino acids	3	P477708	10-19-1998	15	Protein fold recognition (threading) involves the prediction of a protein's three-dimensional shape based on its similarity to a protein whose structure is known. Fold predictions are low resolution; no effort is made to rotate the protein's component amino acid side chains into their correct spatial orientations. Rather, the goal is to recognize the protein family member that most closely resembles the target sequence of unknown structure and to create a sensible alignment of the target to the structure (i.e., a structure-sequence alignment). To complement this structure prediction method we have implemented a low resolution molecular graphics tool. Since amino acid side chain orientation is not relevant in fold recognition, amino acid residues are represented by abstract shapes or glyphs much like Lego (tm) blocks. We also borrow techniques from comparative streamline visualization to provide clean depictions of the entire protein structure model. By creating a low resolution representation of protein structure, we are able to approximately double the amount of information on the screen. This implementation also possesses the advantage of eliminating distracting and possibly misleading visual clutter resulting from the mapping of protein alignment information onto a high resolution display of a known structure.
acm721216	Similarity Clustering of Dimensions for an Enhanced Visualization of Multidimensional Data	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization	52	null	null	3	P200206	10-19-1998	28	The order and arrangement of dimensions (variates) is crucial for the effectiveness of a large number of visualization techniques such as parallel coordinates, scatterplots, recursive pattern, and many others. In this paper, we describe a systematic approach to arrange the dimensions according to their similarity. The basic idea is to rearrange the data dimensions such that dimensions showing a similar behavior are positioned next to each other. For the similarity clustering of dimensions we need to define similarity measures which determine the partial or global similarity of dimensions. We then consider the problem of finding an optimal one- or two-dimensional arrangement of the dimensions based on their similarity. Theoretical considerations show that both, the one- and the two-dimensional arrangement problem are surprisingly hard problems, i.e. they are NP-complete. Our solution of the problem is therefore based on heuristic algorithms. An empirical evaluation using a number of different visualization techniques shows the high impact of our similarity clustering of dimensions on the visualization results.
acm721217	Algorithm Visualization For Distributed Environments	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization	71	78	Algorithm visualization, Algorithm animation, Distributed algorithms	4	P306422	10-19-1998	27	This paper investigates the visualization of distributed algorithms. We present a conceptual model and a system, VADE, that realizes this model. Since in asynchronous distributed systems there is no way of knowing (let alone, visualizing) the ``real'' execution, we show how to generate a visualization which is consistent with the execution of the distributed algorithm. We also present the design and implementation of our system. VADE is designed so that the algorithm runs on the server's machines while the visualization is executed on a web page on the client's machine. Programmers can write animations quickly and easily with the assistance of VADE's libraries.
acm721218	Visualizing Decision Table Classifiers	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization	102	105	classifier, decision table, dimensional stacking, trellis displays, relational data, data mining	1	P27937	10-19-1998	12	Decision tables, like decision trees or neural nets, are classification models used for prediction. They are induced by machine learning algorithms. A decision table consists of a hierarchical table in which each entry in a higher level table gets broken down by the values of a pair of additional attributes to form another table. The structure is similar to dimensional stacking. Presented here is a visualization method that allows a model based on many attributes to be understood even by those unfamiliar with machine learning. Various forms of interaction are used to make this visualization more useful than other static designs.
acm760271	Reconfigurable Disc Trees for Visualizing Large Hierarchical Information Space	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization	19	25	Information visualization, disc tree,compact disc tree, plane disc tree, hierarchy	2	P414344	10-19-1998	8	We present a new visualization technique, called RDT (Reconfigurable Disc Tree) which can alleviate the disadvantages of cone trees significantly for large hierarchies while maintaining its context of using 3D depth. In RDT, each node is associated with a disc around which its children are placed. Using discs instead of cones as the basic shape in RDT has several advantages: significant reduction of occluded region, sharp increase in number of displayed nodes, and easy projection onto plane without visual overlapping. We show that RDT can greatly enhance user perception by transforming its shapes dynamically in several ways:(1) disc tree which can significantly reduce the occluded region by the foreground objects, (2) compact disc tree which can increase the number of nodes displayed on the screen, and (3) plane disc tree which can be mapped onto the plane without visual overlapping. We describe an implementation of our visualization system called VISIT (Visual Information System for reconfigurable dIsc Tree). It provides 2D and 3D layouts for RDT and various user interface features such as tree reconfiguration, tree transformation, tree shading, viewing transformation, animation, selection and browsing which can enhance the user perception and navigation capabilities. We also evaluate our system using the following three metrics: percentage of occlusion, density of displayed nodes on a screen. number of identifiable nodes.
acm857576	IVEE: an Information Visualization and Exploration Environment	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	66	null	HTML file, IVEE, Information Visualization and Exploration Environment, alphasliders, arbitrary graphical objects, automatic dynamic query creation, computer animation, data visualisation, database objects, database relations, details-on-demand retrieval, maps, multimedia computing, multimedia information, multiple IVEE clients, multiple query devices, multiple visualizations, network, query devices, query formulation, query processing, sliders, starfields, toggles, user actions, workstations	2	P572973	10-30-1995	27	The Information Visualization and Exploration Environment (NEE) is a system for automatic creation of dynamic queries applications. IVEE imports database relations and automatically creates environments holding visualizations and query devices. IVEE offers multiple visualizations such as maps and starfields, and multiple query devices, such as sliders, alphasliders, and toggles. Arbitrary graphical objects can be attached to database objects in visualizations. Multiple visualizations may be active simultaneously. Users can interactively lay out and change between types of query devices. Users may retrieve details-on-demand by clicking on visualization objects. An HTML file may be provided along with the database, specifying how details-on-demand information should be presented, allowing for presentation of multimedia information in database objects. Finally, multiple IVEE clients running on separate workstations on a network can communicate by letting one user's actions affect the visualization in an another IVEE client.
