article_id	num_refs	ref_id	ref_text
acm721078	31	acm191775	C. Ahlberg and B. Shneiderman. Visual Information Seeking: Tight Coupling of Dynamic Query Filters with Starfield Displays. In The Proc. Human Factors in Computing Systems Conf, pages 313-319, 1994.
acm721078	31	acm37086	Richard A. Becker , William S. Cleveland, Brushing scatterplots, Technometrics, v.29 n.2, p.127-142, May 1, 1987 
acm721078	31	acm614292	Becker R. A., Eick S. G., Wills G. J. "Visualizing Network Data", IEEE Transactions on Visualizations and Graphics, Vol. 1, No. 1, 1995, pp. 16-28.
acm721078	31	id6160	J. Bertin, Semiology of Graphics: Diagrams, Networks, Maps. Univ. of Wisconsin Press, 1983.
acm721078	31	acm857632	S.K. Card and J.D. Mackinlay, "The Structure of the Information Visualization Design Space," Proc. IEEE Symposium on Information Visualization (InfoVis 97), IEEE Computer Society Press, Los Alamitos, Calif., 1997, pp. 92-99.
acm721078	31	acm238446	Stuart K. Card , George G. Robertson , William York, The WebBook and the Web Forager: an information workspace for the World-Wide Web, Proceedings of the SIGCHI conference on Human factors in computing systems: common ground, p.111-ff., April 13-18, 1996, Vancouver, British Columbia, Canada 
acm721078	31	acm857626	Chi, E., Barry, P., Riedl, J., Konstan, J., "A Spreadsheet Approach to Information Visualization". Proc. IEEE Information Visualization, pp. 17-24, 1997.
acm721078	31	acm274699	Ed H. Chi , James Pitkow , Jock Mackinlay , Peter Pirolli , Rich Gossweiler , Stuart K. Card, Visualizing the evolution of Web ecologies, Proceedings of the SIGCHI conference on Human factors in computing systems, p.400-407, April 18-23, 1998, Los Angeles, California, United States 
acm721078	31	acm245041	E. H. Chi, J. Riedl, E. Shoop, J. V. Carlis, E. Retzel, and P. Barry. "Flexible information visualization of multivariate data from biological sequence similarity searches". In IEEE Visualization '96, pages 133-140,477. IEEE CS Press, 1996.
acm721078	31	acm857620	M. C. Chuah and S. F. Roth, "On the semantics of interactive visualizations" in Proceedings of the Information Visualization 96 Conference, 1996, pp.29-36.
acm721078	31	acm91412	S. Feiner and C. Beshers. "Visualizing n-dimensional virtual worlds with nvision". Computer Graphics, 24(2):37-38, 1990.
acm721078	31	acm83821	Foley, J., van Dam, A., Feiner, S. Hughes, J., Computer Graphics: Principles and Practice, Addison-Wesley Inc., 1997, pp. 83-91.
acm721078	31	acm378494	Paul E. Haeberli, ConMan: a visual programming language for interactive graphics, ACM SIGGRAPH Computer Graphics, v.22 n.4, p.103-111, Aug. 1988 
acm721078	31	acm857631	Inselberg A. "Multidimensional Detective", in Proc. of IEEE Information Visualization '97, pp. 100-107. IEEE Comp. Soc., Los Alamitos, CA, 1997.
acm721078	31	acm949654	Brian Johnson , Ben Shneiderman, Tree-Maps: a space-filling approach to the visualization of hierarchical information structures, Proceedings of the 2nd conference on Visualization '91, October 22-25, 1991, San Diego, California 
acm721078	31	acm223956	John Lamping , Ramana Rao , Peter Pirolli, A focus+context technique based on hyperbolic geometry for visualizing large hierarchies, Proceedings of the SIGCHI conference on Human factors in computing systems, p.401-408, May 07-11, 1995, Denver, Colorado, United States 
acm721078	31	acm833884	J. P. Lee and G. G. Grinstein. "An architecture for retaining and analyzing visual explorations of databases". In Proceedings of IEEE Visualization (Vis '95), pages 101-108. IEEE, IEEE Press, 1995.
acm721078	31	acm192190	M. Levoy, "Spreadsheets for Images," Proc. Siggraph 94, A. Glassner, ed., ACM Press, New York, 1994, pp. 139-146.
acm721078	31	acm22950	Jock Mackinlay, Automating the design of graphical presentations of relational information, ACM Transactions on Graphics (TOG), v.5 n.2, p.110-141, April 1986 
acm721078	31	acm108844.108870	Mackinlay, J. D., Robertson, G. G., and Card, S. K., "The Perspective Wall Detail and context smoothly integrated", Proceedings of CHI '91, 1991.
acm721078	31	acm223947	Sougata Mukherjea , James D. Foley , Scott Hudson, Visualizing complex hypermedia networks through multiple hierarchical views, Proceedings of the SIGCHI conference on Human factors in computing systems, p.331-337, May 07-11, 1995, Denver, Colorado, United States 
acm721078	31	id6974	D. A. Norman. "The Design of Everyday Things". Doubleday, 1988.
acm721078	31	acm524313	J. K. Ousterhout. "Tcl and the Tk Toolkit". Addison-Wesley, 1994.
acm721078	31	acm191776	Ramana Rao , Stuart K. Card, The table lens: merging graphical and symbolic representations in an interactive focus + context visualization for tabular information, Proceedings of the SIGCHI conference on Human factors in computing systems: celebrating interdependence, p.318-322, April 24-28, 1994, Boston, Massachusetts, United States 
acm721078	31	acm223745	Ramana Rao , Stuart K. Card, Exploring large tables with the table lens, Conference companion on Human factors in computing systems, p.403-404, May 07-11, 1995, Denver, Colorado, United States 
acm721078	31	acm108883	George G. Robertson , Jock D. Mackinlay , Stuart K. Card, Cone Trees: animated 3D visualizations of hierarchical information, Proceedings of the SIGCHI conference on Human factors in computing systems: Reaching through technology, p.189-194, April 27-May 02, 1991, New Orleans, Louisiana, United States 
acm721078	31	acm272980	W.J. Schroeder, K.M. Martin, and W.E. Lorensen, The Visualization Toolkit: An Object-Oriented Approach to 3D Graphics, Prentice Hall, Englewood Cliffs, N.J., 1996.
acm721078	31	acm237774	Herbert A. Simon, The sciences of the artificial (3rd ed.), MIT Press, Cambridge, MA, 1996 
acm721078	31	acm617498	Craig Upson , Thomas Faulhaber, Jr. , David Kamins , David Laidlaw , David Schlegel , Jefrey Vroom , Robert Gurwitz , Andries van Dam, The Application Visualization System: A Computational Environment for Scientific Visualization, IEEE Computer Graphics and Applications, v.9 n.4, p.30-42, July 1989 
acm721078	31	acm857601	A. Varshney and A. Kaufman, "Finesse: A Financial Information Spreadsheet," Proc. IEEE Information Visualization Symp. 96, IEEE CS Press, Los Alamitos, Calif., 1996, pp. 70-71.
acm721078	31	acm857579	J. A. Wise and J. J. Thomas and K. Pennock and D. Lantrip and M. Pottier and A. Schur and V. Crow. Visualizing the Non-Visual: Spatial analysis and interaction with information from text documents. Proc. of Information Visualization '95, pp. 51-58, 1995.
acm721080	13	acm41997	B.H. McCormick, T.A. Defanti, and M.D. Brown, "Visualization in Scientific Computing," special issue, Computer Graphics, Vol. 21, No. 6, Nov. 1987.
acm721080	13	acm245018	W. J. Schroeder, K. M. Martin, and W. E. Lorensen. "The design and implementation of an object-oriented toolkit for 3d graphics and visualization". In R. Yagel and G. M. Nielson, editors, IEEE Visualization '96, pages 93-100. IEEE CS Press, 1996.
acm721080	13	acm108883	George G. Robertson , Jock D. Mackinlay , Stuart K. Card, Cone Trees: animated 3D visualizations of hierarchical information, Proceedings of the SIGCHI conference on Human factors in computing systems: Reaching through technology, p.189-194, April 27-May 02, 1991, New Orleans, Louisiana, United States 
acm721080	13	acm857615	T. Munzner, E. Hoffman, K. Claffy, B. Fenner, "Visualizing the Global Topology of the MBone". In Proc. IEEE Information Visualization '96, pp 85-92, October 1996.
acm721080	13	id4865	Ingo Bruss and Ame Frick. "Fast interactive 3-D graph visualization". In Proceedings of Graph Drawing '95, Lecture Notes in Computer Science 1027, pages 99-110,1995.
acm721080	13	acm857624	M. Gross, T. Sprenger, and J. Finger. "Visualizing Information on a Sphere". In J. Dill and N. Gershon, editors, IEEE Information Visualization '97. IEEE, Oct. 1997. ISBN 0-8186-8189-6.
acm721080	13	acm857584	R. Hendley, et al.: "Case Study - Narcissus: Visualizing Information", Proceedings of the IEEE Information Visualization 95, pp. 90-96, 1995.
acm721080	13	acm274432	Spence, R., "Information Visualization", ACM Press, 2000.
acm721080	13	id6873	Keim D. A.: "Visual Techniques for Exploring Databases", Invited Tutorial, Int. Conference on Knowledge Discovery in Databases (KDD'97), Newport Beach, CA, 1997.
acm721080	13	id7230	"XGobi, a System For Multivariate Data Visualization", AT&amp;T Labs Research, http://www.research.att.com/~andreas/xgobi.
acm721080	13	acm857576	Ahlberg, C., Wistrand, E., "IVEE An Information Visualization and Exploration Environment", Proc. IEEE Information Visualization '95, pp. 66-73, (1995).
acm721080	13	id5085	T. C. Sprenger, M. H. Gross, A. Eggenberger, M. Kaufmann. "A Framework for Physically-Based Information Visualization". Eight EuroGraphics - Workshop on Visualization in Scientific Computing, France, pp. 77-86, 1997
acm721080	13	id7290	A. M. Tannenbaum, Y. Langsam, M. J. Augenstein: "Data Structures Using C", Prentice-Hall, 1990.
acm721083	23	id7983	Carole Blanc and Christopher Schlick, "Extended Field Functions for Soft Objects", Proceedings of Implicit Surfaces `95, (Ed.) B.Wyvill and M.P. Gascuel, pp. 21-32, 1995.
acm721083	23	acm357310	James F. Blinn, A Generalization of Algebraic Surface Drawing, ACM Transactions on Graphics (TOG), v.1 n.3, p.235-256, July 1982 
