article_id	source_id	source
acm721078	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
acm721080	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
acm721083	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
acm721210	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
acm721213	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
acm721216	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
acm721217	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
acm721218	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
acm760271	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
acm857576	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857577	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857578	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857579	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857580	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857581	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857582	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857583	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857584	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857585	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857587	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857589	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857590	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857591	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857592	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857593	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857597	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857598	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
acm857599	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857600	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857601	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857602	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857603	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857604	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857605	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857606	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857607	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857608	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857609	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857612	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857613	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857614	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857615	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857617	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857618	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857619	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857620	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
acm857624	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857625	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857626	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857627	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857630	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857631	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857632	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857638	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857639	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857640	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857641	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857642	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857643	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857644	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857645	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857646	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
acm857655	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857656	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857657	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857659	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857660	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857661	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857662	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857663	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857665	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857666	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857667	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857668	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857669	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857670	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857671	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857672	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857673	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857674	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857675	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 
acm857679	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857680	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857681	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857682	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857683	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857684	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857685	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857686	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857687	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857688	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857689	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857690	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857691	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857692	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857693	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857694	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857697	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857698	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857699	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857700	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 
acm857702	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857703	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857704	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857705	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857706	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857707	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857708	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857709	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857710	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857711	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857712	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857713	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857714	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857715	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857716	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857717	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
