user 	tsk:1, c:1, d:1	tsk:1, c:1, d:2	tsk:1, c:1, d:3	tsk:1, c:2, d:1	tsk:1, c:2, d:2	tsk:1, c:2, d:3	tsk:1, c:3, d:1	tsk:1, c:3, d:2	tsk:1, c:3, d:3	tsk:1, c:4, d:1	tsk:1, c:4, d:2	tsk:1, c:4, d:3	tsk:2, c:1, d:1	tsk:2, c:1, d:2	tsk:2, c:1, d:3	tsk:2, c:2, d:1	tsk:2, c:2, d:2	tsk:2, c:2, d:3	tsk:2, c:3, d:1	tsk:2, c:3, d:2	tsk:2, c:3, d:3	tsk:2, c:4, d:1	tsk:2, c:4, d:2	tsk:2, c:4, d:3	tsk:3, c:1, d:1	tsk:3, c:1, d:2	tsk:3, c:1, d:3	tsk:3, c:2, d:1	tsk:3, c:2, d:2	tsk:3, c:2, d:3	tsk:3, c:3, d:1	tsk:3, c:3, d:2	tsk:3, c:3, d:3	tsk:3, c:4, d:1	tsk:3, c:4, d:2	tsk:3, c:4, d:3	tsk:4, c:1, d:1	tsk:4, c:1, d:2	tsk:4, c:1, d:3	tsk:4, c:2, d:1	tsk:4, c:2, d:2	tsk:4, c:2, d:3	tsk:4, c:3, d:1	tsk:4, c:3, d:2	tsk:4, c:3, d:3	tsk:4, c:4, d:1	tsk:4, c:4, d:2	tsk:4, c:4, d:3	tsk:5, c:1, d:1	tsk:5, c:1, d:2	tsk:5, c:1, d:3	tsk:5, c:2, d:1	tsk:5, c:2, d:2	tsk:5, c:2, d:3	tsk:5, c:3, d:1	tsk:5, c:3, d:2	tsk:5, c:3, d:3	tsk:5, c:4, d:1	tsk:5, c:4, d:2	tsk:5, c:4, d:3	
p1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	
p2	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	
p3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	
p4	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	
p5	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	
p6	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	-1	0	0	
p7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	
p8	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	
p9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	
p10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	
p11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	
p12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
p13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
p14	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	
p15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
p16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
