user 	 quest 	 exists 	 dataset 	 task 	 condnum 	 truefalse 	 time 
1	1	1	1	1	3	0	12
1	2	0	2	1	4	0	13
1	3	0	3	1	1	0	13
1	4	1	1	1	2	-1	14
1	5	1	2	1	3	0	8
1	6	1	3	1	4	0	10
1	7	0	1	1	1	0	17
1	8	1	2	1	2	0	10
1	9	0	3	1	3	0	21
1	10	0	1	1	4	0	24
1	11	1	2	1	1	-1	29
1	12	0	3	1	2	0	15
1	13	1	1	2	3	0	13
1	14	1	2	2	4	0	10
1	15	1	3	2	1	-1	14
1	16	1	1	2	2	0	12
1	17	1	2	2	3	0	14
1	18	1	3	2	4	0	12
1	19	1	1	2	1	0	15
1	20	1	2	2	2	0	10
1	21	1	3	2	3	-1	38
1	22	1	1	2	4	0	13
1	23	1	2	2	1	0	20
1	24	1	3	2	2	-1	10
1	25	1	1	3	3	0	12
1	26	1	2	3	4	-1	10
1	27	0	3	3	1	-1	33
1	28	0	1	3	2	-1	9
1	29	1	2	3	3	-1	29
1	30	0	3	3	4	-1	12
1	31	0	1	3	1	0	22
1	32	1	2	3	2	0	14
1	33	1	3	3	3	-1	19
1	34	0	1	3	4	0	24
1	35	0	2	3	1	0	14
1	36	1	3	3	2	0	9
1	37	0	1	4	2	0	12
1	38	1	2	4	4	0	16
1	39	1	3	4	1	0	11
1	40	0	1	4	3	0	37
1	41	0	2	4	2	0	20
1	42	0	3	4	4	0	10
1	43	1	1	4	1	0	16
1	44	0	2	4	3	0	29
1	45	1	3	4	2	0	26
1	46	1	1	4	4	0	22
1	47	0	2	4	1	0	15
1	48	0	3	4	3	0	15
1	49	1	1	5	3	0	22
1	50	1	2	5	4	0	39
1	51	1	3	5	1	-1	35
1	52	1	1	5	2	0	12
1	53	1	2	5	3	0	12
1	54	1	3	5	4	0	21
1	55	1	1	5	1	0	39
1	56	1	2	5	2	0	10
1	57	1	3	5	3	0	13
1	58	1	1	5	4	-1	37
1	59	1	2	5	1	0	22
1	60	1	3	5	2	0	11
2	1	1	1	1	4	0	14
2	2	0	2	1	3	0	13
2	3	0	3	1	2	0	13
2	4	1	1	1	1	0	11
2	5	1	2	1	4	0	9
2	6	1	3	1	3	0	7
2	7	0	1	1	2	0	12
2	8	1	2	1	1	0	8
2	9	0	3	1	4	0	18
2	10	0	1	1	3	0	10
2	11	1	2	1	2	0	6
2	12	0	3	1	1	0	15
2	13	1	1	2	4	0	12
2	14	1	2	2	3	0	10
2	15	1	3	2	2	0	10
2	16	1	1	2	1	0	12
2	17	1	2	2	4	0	14
2	18	1	3	2	3	0	12
2	19	1	1	2	2	0	8
2	20	1	2	2	1	-1	12
2	21	1	3	2	4	-1	19
2	22	1	1	2	3	0	20
2	23	1	2	2	2	0	11
2	24	1	3	2	1	0	13
2	25	1	1	3	4	0	12
2	26	1	2	3	3	0	7
2	27	0	3	3	2	0	8
2	28	0	1	3	1	0	9
2	29	1	2	3	4	0	13
2	30	0	3	3	3	0	16
2	31	0	1	3	2	0	7
2	32	1	2	3	1	0	7
2	33	1	3	3	4	0	5
2	34	0	1	3	3	0	10
2	35	0	2	3	2	0	8
2	36	1	3	3	1	0	7
2	37	0	1	4	4	0	12
2	38	1	2	4	2	0	8
2	39	1	3	4	3	0	17
2	40	0	1	4	1	0	11
2	41	0	2	4	4	0	17
2	42	0	3	4	2	0	9
2	43	1	1	4	3	0	10
2	44	0	2	4	1	-1	9
2	45	1	3	4	4	0	25
2	46	1	1	4	2	0	7
2	47	0	2	4	3	-1	23
2	48	0	3	4	1	0	12
2	49	1	1	5	4	0	13
2	50	1	2	5	3	0	27
2	51	1	3	5	2	0	19
2	52	1	1	5	1	0	28
2	53	1	2	5	4	0	26
2	54	1	3	5	3	-1	24
2	55	1	1	5	2	0	46
2	56	1	2	5	1	0	22
2	57	1	3	5	4	0	13
2	58	1	1	5	3	-1	18
2	59	1	2	5	2	0	23
2	60	1	3	5	1	0	19
3	1	1	1	1	3	0	18
3	2	0	2	1	4	0	14
3	3	0	3	1	2	0	12
3	4	1	1	1	1	0	8
3	5	1	2	1	3	0	11
3	6	1	3	1	4	0	7
3	7	0	1	1	2	0	15
3	8	1	2	1	1	0	11
3	9	0	3	1	3	0	19
3	10	0	1	1	4	0	12
3	11	1	2	1	2	0	11
3	12	0	3	1	1	0	17
3	13	1	1	2	3	-1	22
3	14	1	2	2	4	0	14
3	15	1	3	2	2	0	9
3	16	1	1	2	1	0	35
3	17	1	2	2	3	0	21
3	18	1	3	2	4	-1	14
3	19	1	1	2	2	0	9
3	20	1	2	2	1	0	11
3	21	1	3	2	3	-1	39
3	22	1	1	2	4	-1	15
3	23	1	2	2	2	0	13
3	24	1	3	2	1	0	12
3	25	1	1	3	3	0	5
3	26	1	2	3	4	0	5
3	27	0	3	3	2	0	8
3	28	0	1	3	1	0	10
3	29	1	2	3	3	0	12
3	30	0	3	3	4	0	10
3	31	0	1	3	2	0	9
3	32	1	2	3	1	0	14
3	33	1	3	3	3	0	12
3	34	0	1	3	4	0	20
3	35	0	2	3	2	0	6
3	36	1	3	3	1	0	12
3	37	0	1	4	2	0	21
3	38	1	2	4	4	0	25
3	39	1	3	4	3	0	16
3	40	0	1	4	1	0	23
3	41	0	2	4	2	0	29
3	42	0	3	4	4	0	24
3	43	1	1	4	3	0	23
3	44	0	2	4	1	-1	14
3	45	1	3	4	2	0	31
3	46	1	1	4	4	0	25
3	47	0	2	4	3	0	17
3	48	0	3	4	1	0	19
3	49	1	1	5	3	-1	67
3	50	1	2	5	4	0	41
3	51	1	3	5	2	0	61
3	52	1	1	5	1	0	59
3	53	1	2	5	3	0	38
3	54	1	3	5	4	0	20
3	55	1	1	5	2	0	51
3	56	1	2	5	1	0	45
3	57	1	3	5	3	-1	60
3	58	1	1	5	4	-1	41
3	59	1	2	5	2	-1	26
3	60	1	3	5	1	0	14
4	1	1	1	1	4	0	45
4	2	0	2	1	3	0	24
4	3	0	3	1	1	0	17
4	4	1	1	1	2	-1	63
4	5	1	2	1	4	0	30
4	6	1	3	1	3	0	14
4	7	0	1	1	1	0	18
4	8	1	2	1	2	0	11
4	9	0	3	1	4	0	38
4	10	0	1	1	3	0	21
4	11	1	2	1	1	0	15
4	12	0	3	1	2	0	24
4	13	1	1	2	4	0	18
4	14	1	2	2	3	0	12
4	15	1	3	2	1	0	24
4	16	1	1	2	2	0	31
4	17	1	2	2	4	0	20
4	18	1	3	2	3	0	18
4	19	1	1	2	1	0	14
4	20	1	2	2	2	0	31
4	21	1	3	2	4	0	45
4	22	1	1	2	3	0	28
4	23	1	2	2	1	0	31
4	24	1	3	2	2	0	23
4	25	1	1	3	4	0	11
4	26	1	2	3	3	0	8
4	27	0	3	3	1	0	14
4	28	0	1	3	2	0	7
4	29	1	2	3	4	0	11
4	30	0	3	3	3	0	31
4	31	0	1	3	1	0	20
4	32	1	2	3	2	0	12
4	33	1	3	3	4	0	9
4	34	0	1	3	3	0	12
4	35	0	2	3	1	0	20
4	36	1	3	3	2	0	14
4	37	0	1	4	4	0	17
4	38	1	2	4	2	0	14
4	39	1	3	4	1	0	13
4	40	0	1	4	3	0	20
4	41	0	2	4	4	0	31
4	42	0	3	4	2	0	12
4	43	1	1	4	1	0	14
4	44	0	2	4	3	-1	19
4	45	1	3	4	4	0	27
4	46	1	1	4	2	0	15
4	47	0	2	4	1	0	17
4	48	0	3	4	3	0	85
4	49	1	1	5	4	0	15
4	50	1	2	5	3	0	29
4	51	1	3	5	1	0	46
4	52	1	1	5	2	0	12
4	53	1	2	5	4	0	11
4	54	1	3	5	3	0	19
4	55	1	1	5	1	0	67
4	56	1	2	5	2	0	10
4	57	1	3	5	4	0	18
4	58	1	1	5	3	-1	93
4	59	1	2	5	1	0	18
4	60	1	3	5	2	0	14
5	1	1	1	1	1	0	23
5	2	0	2	1	2	0	23
5	3	0	3	1	3	0	17
5	4	1	1	1	4	0	18
5	5	1	2	1	1	0	44
5	6	1	3	1	2	0	18
5	7	0	1	1	3	0	13
5	8	1	2	1	4	0	12
5	9	0	3	1	1	0	24
5	10	0	1	1	2	-1	12
5	11	1	2	1	3	0	16
5	12	0	3	1	4	0	19
5	13	1	1	2	1	-1	21
5	14	1	2	2	2	0	11
5	15	1	3	2	3	0	24
5	16	1	1	2	4	0	14
5	17	1	2	2	1	0	37
5	18	1	3	2	2	0	14
5	19	1	1	2	3	0	13
5	20	1	2	2	4	0	11
5	21	1	3	2	1	-1	53
5	22	1	1	2	2	0	11
5	23	1	2	2	3	0	20
5	24	1	3	2	4	-1	18
5	25	1	1	3	1	0	5
5	26	1	2	3	2	0	7
5	27	0	3	3	3	0	8
5	28	0	1	3	4	0	10
5	29	1	2	3	1	-1	23
5	30	0	3	3	2	0	14
5	31	0	1	3	3	0	12
5	32	1	2	3	4	0	6
5	33	1	3	3	1	0	11
5	34	0	1	3	2	0	10
5	35	0	2	3	3	0	15
5	36	1	3	3	4	0	6
5	37	0	1	4	1	0	22
5	38	1	2	4	3	0	17
5	39	1	3	4	2	0	15
5	40	0	1	4	4	0	10
5	41	0	2	4	1	0	16
5	42	0	3	4	3	0	27
5	43	1	1	4	2	0	9
5	44	0	2	4	4	0	12
5	45	1	3	4	1	0	21
5	46	1	1	4	3	0	13
5	47	0	2	4	2	0	27
5	48	0	3	4	4	0	20
5	49	1	1	5	1	-1	35
5	50	1	2	5	2	0	28
5	51	1	3	5	3	0	15
5	52	1	1	5	4	0	10
5	53	1	2	5	1	0	14
5	54	1	3	5	2	0	13
5	55	1	1	5	3	0	19
5	56	1	2	5	4	0	20
5	57	1	3	5	1	-1	35
5	58	1	1	5	2	-1	40
5	59	1	2	5	3	0	11
5	60	1	3	5	4	0	8
6	1	1	1	1	1	0	10
6	2	0	2	1	2	0	10
6	3	0	3	1	4	0	12
6	4	1	1	1	3	-1	13
6	5	1	2	1	1	0	9
6	6	1	3	1	2	0	17
6	7	0	1	1	4	0	24
6	8	1	2	1	3	0	23
6	9	0	3	1	1	0	16
6	10	0	1	1	2	0	18
6	11	1	2	1	4	0	51
6	12	0	3	1	3	0	19
6	13	1	1	2	1	0	13
6	14	1	2	2	2	-1	13
6	15	1	3	2	4	-1	12
6	16	1	1	2	3	0	21
6	17	1	2	2	1	0	15
6	18	1	3	2	2	0	13
6	19	1	1	2	4	-1	22
6	20	1	2	2	3	0	19
6	21	1	3	2	1	0	17
6	22	1	1	2	2	0	13
6	23	1	2	2	4	0	36
6	24	1	3	2	3	-1	23
6	25	1	1	3	1	0	15
6	26	1	2	3	2	0	12
6	27	0	3	3	4	0	11
6	28	0	1	3	3	0	11
6	29	1	2	3	1	0	9
6	30	0	3	3	2	0	17
6	31	0	1	3	4	0	25
6	32	1	2	3	3	0	31
6	33	1	3	3	1	0	11
6	34	0	1	3	2	0	38
6	35	0	2	3	4	0	49
6	36	1	3	3	3	0	5
6	37	0	1	4	1	0	17
6	38	1	2	4	3	0	17
6	39	1	3	4	4	0	22
6	40	0	1	4	2	0	22
6	41	0	2	4	1	0	17
6	42	0	3	4	3	0	14
6	43	1	1	4	4	0	10
6	44	0	2	4	2	0	12
6	45	1	3	4	1	0	21
6	46	1	1	4	3	0	23
6	47	0	2	4	4	0	27
6	48	0	3	4	2	0	12
6	49	1	1	5	1	-1	91
6	50	1	2	5	2	-1	15
6	51	1	3	5	4	0	11
6	52	1	1	5	3	0	13
6	53	1	2	5	1	0	20
6	54	1	3	5	2	0	6
6	55	1	1	5	4	-1	53
6	56	1	2	5	3	0	18
6	57	1	3	5	1	0	12
6	58	1	1	5	2	-1	48
6	59	1	2	5	4	0	21
6	60	1	3	5	3	0	20
7	1	1	1	1	2	0	8
7	2	0	2	1	1	0	11
7	3	0	3	1	4	0	16
7	4	1	1	1	3	0	12
7	5	1	2	1	2	0	7
7	6	1	3	1	1	0	12
7	7	0	1	1	4	0	10
7	8	1	2	1	3	0	20
7	9	0	3	1	2	0	20
7	10	0	1	1	1	0	15
7	11	1	2	1	4	0	15
7	12	0	3	1	3	0	12
7	13	1	1	2	2	0	10
7	14	1	2	2	1	0	11
7	15	1	3	2	4	0	26
7	16	1	1	2	3	0	14
7	17	1	2	2	2	0	16
7	18	1	3	2	1	0	10
7	19	1	1	2	4	0	21
7	20	1	2	2	3	0	50
7	21	1	3	2	2	0	26
7	22	1	1	2	1	0	17
7	23	1	2	2	4	0	33
7	24	1	3	2	3	-1	24
7	25	1	1	3	2	0	8
7	26	1	2	3	1	0	11
7	27	0	3	3	4	0	9
7	28	0	1	3	3	0	20
7	29	1	2	3	2	0	9
7	30	0	3	3	1	0	24
7	31	0	1	3	4	0	16
7	32	1	2	3	3	0	7
7	33	1	3	3	2	0	5
7	34	0	1	3	1	0	16
7	35	0	2	3	4	0	23
7	36	1	3	3	3	0	6
7	37	0	1	4	3	0	15
7	38	1	2	4	1	0	10
7	39	1	3	4	4	0	9
7	40	0	1	4	2	0	9
7	41	0	2	4	3	0	28
7	42	0	3	4	1	0	30
7	43	1	1	4	4	0	11
7	44	0	2	4	2	-1	15
7	45	1	3	4	3	0	12
7	46	1	1	4	1	0	9
7	47	0	2	4	4	0	10
7	48	0	3	4	2	0	10
7	49	1	1	5	2	0	19
7	50	1	2	5	1	0	26
7	51	1	3	5	4	0	15
7	52	1	1	5	3	0	20
7	53	1	2	5	2	0	17
7	54	1	3	5	1	0	14
7	55	1	1	5	4	0	60
7	56	1	2	5	3	0	11
7	57	1	3	5	2	0	14
7	58	1	1	5	1	-1	36
7	59	1	2	5	4	0	20
7	60	1	3	5	3	0	16
8	1	1	1	1	2	0	8
8	2	0	2	1	1	0	15
8	3	0	3	1	3	0	14
8	4	1	1	1	4	0	21
8	5	1	2	1	2	0	10
8	6	1	3	1	1	0	18
8	7	0	1	1	3	0	15
8	8	1	2	1	4	-1	25
8	9	0	3	1	2	0	23
8	10	0	1	1	1	0	17
8	11	1	2	1	3	0	12
8	12	0	3	1	4	0	22
8	13	1	1	2	2	0	11
8	14	1	2	2	1	-1	18
8	15	1	3	2	3	-1	18
8	16	1	1	2	4	-1	23
8	17	1	2	2	2	0	12
8	18	1	3	2	1	-1	32
8	19	1	1	2	3	0	24
8	20	1	2	2	4	0	17
8	21	1	3	2	2	0	32
8	22	1	1	2	1	-1	22
8	23	1	2	2	3	0	19
8	24	1	3	2	4	-1	13
8	25	1	1	3	2	0	19
8	26	1	2	3	1	0	10
8	27	0	3	3	3	0	15
8	28	0	1	3	4	0	11
8	29	1	2	3	2	0	13
8	30	0	3	3	1	0	17
8	31	0	1	3	3	0	20
8	32	1	2	3	4	0	26
8	33	1	3	3	2	0	15
8	34	0	1	3	1	0	35
8	35	0	2	3	3	0	15
8	36	1	3	3	4	0	11
8	37	0	1	4	3	0	16
8	38	1	2	4	1	0	13
8	39	1	3	4	2	-1	15
8	40	0	1	4	4	-1	11
8	41	0	2	4	3	0	16
8	42	0	3	4	1	0	17
8	43	1	1	4	2	0	10
8	44	0	2	4	4	0	29
8	45	1	3	4	3	0	13
8	46	1	1	4	1	0	16
8	47	0	2	4	2	0	16
8	48	0	3	4	4	0	28
8	49	1	1	5	2	-1	34
8	50	1	2	5	1	0	23
8	51	1	3	5	3	0	11
8	52	1	1	5	4	0	14
8	53	1	2	5	2	0	15
8	54	1	3	5	1	0	24
8	55	1	1	5	3	0	16
8	56	1	2	5	4	0	19
8	57	1	3	5	2	0	15
8	58	1	1	5	1	-1	22
8	59	1	2	5	3	0	20
8	60	1	3	5	4	0	32
9	1	1	1	1	3	0	15
9	2	0	2	1	2	0	9
9	3	0	3	1	1	0	18
9	4	1	1	1	4	0	18
9	5	1	2	1	3	0	21
9	6	1	3	1	2	0	9
9	7	0	1	1	1	0	16
9	8	1	2	1	4	0	9
9	9	0	3	1	3	0	27
9	10	0	1	1	2	0	11
9	11	1	2	1	1	0	6
9	12	0	3	1	4	0	29
9	13	1	1	2	3	0	15
9	14	1	2	2	2	0	12
9	15	1	3	2	1	0	10
9	16	1	1	2	4	0	18
9	17	1	2	2	3	0	16
9	18	1	3	2	2	0	9
