user 	tsk:1, c:1, d:1	tsk:1, c:1, d:2	tsk:1, c:1, d:3	tsk:1, c:2, d:1	tsk:1, c:2, d:2	tsk:1, c:2, d:3	tsk:1, c:3, d:1	tsk:1, c:3, d:2	tsk:1, c:3, d:3	tsk:1, c:4, d:1	tsk:1, c:4, d:2	tsk:1, c:4, d:3	tsk:2, c:1, d:1	tsk:2, c:1, d:2	tsk:2, c:1, d:3	tsk:2, c:2, d:1	tsk:2, c:2, d:2	tsk:2, c:2, d:3	tsk:2, c:3, d:1	tsk:2, c:3, d:2	tsk:2, c:3, d:3	tsk:2, c:4, d:1	tsk:2, c:4, d:2	tsk:2, c:4, d:3	tsk:3, c:1, d:1	tsk:3, c:1, d:2	tsk:3, c:1, d:3	tsk:3, c:2, d:1	tsk:3, c:2, d:2	tsk:3, c:2, d:3	tsk:3, c:3, d:1	tsk:3, c:3, d:2	tsk:3, c:3, d:3	tsk:3, c:4, d:1	tsk:3, c:4, d:2	tsk:3, c:4, d:3	tsk:4, c:1, d:1	tsk:4, c:1, d:2	tsk:4, c:1, d:3	tsk:4, c:2, d:1	tsk:4, c:2, d:2	tsk:4, c:2, d:3	tsk:4, c:3, d:1	tsk:4, c:3, d:2	tsk:4, c:3, d:3	tsk:4, c:4, d:1	tsk:4, c:4, d:2	tsk:4, c:4, d:3	tsk:5, c:1, d:1	tsk:5, c:1, d:2	tsk:5, c:1, d:3	tsk:5, c:2, d:1	tsk:5, c:2, d:2	tsk:5, c:2, d:3	tsk:5, c:3, d:1	tsk:5, c:3, d:2	tsk:5, c:3, d:3	tsk:5, c:4, d:1	tsk:5, c:4, d:2	tsk:5, c:4, d:3	
p1	17	29	13	14	10	15	12	8	21	24	13	10	15	20	14	12	10	10	13	14	38	13	10	12	22	14	33	9	14	9	12	29	19	24	10	12	16	15	11	12	20	26	37	29	15	22	16	10	39	22	35	12	10	11	22	12	13	37	39	21	
p2	11	8	15	12	6	13	10	13	7	14	9	18	12	12	13	8	11	10	20	10	12	12	14	19	9	7	7	7	8	8	10	7	16	12	13	5	11	9	12	7	8	9	10	23	17	12	17	25	28	22	19	46	23	19	18	27	24	13	26	13	
p3	8	11	17	15	11	12	18	11	19	12	14	7	35	11	12	9	13	9	22	21	39	15	14	14	10	14	12	9	6	8	5	12	12	20	5	10	23	14	19	21	29	31	23	17	16	25	25	24	59	45	14	51	26	61	67	38	60	41	41	20	
p4	18	15	17	63	11	24	21	24	14	45	30	38	14	31	24	31	31	23	28	12	18	18	20	45	20	20	14	7	12	14	12	8	31	11	11	9	14	17	13	15	14	12	20	19	85	17	31	27	67	18	46	12	10	14	93	29	19	15	11	18	
p5	23	44	24	12	23	18	13	16	17	18	12	19	21	37	53	11	11	14	13	20	24	14	11	18	5	23	11	10	7	14	12	15	8	10	6	6	22	16	21	9	27	15	13	17	27	10	12	20	35	14	35	40	28	13	19	11	15	10	20	8	
p6	10	9	16	18	10	17	13	23	19	24	51	12	13	15	17	13	13	13	21	19	23	22	36	12	15	9	11	38	12	17	11	31	5	25	49	11	17	17	21	22	12	12	23	17	14	10	27	22	91	20	12	48	15	6	13	18	20	53	21	11	
p7	15	11	12	8	7	20	12	20	12	10	15	16	17	11	10	10	16	26	14	50	24	21	33	26	16	11	24	8	9	5	20	7	6	16	23	9	9	10	30	9	15	10	15	28	12	11	10	9	36	26	14	19	17	14	20	11	16	60	20	15	
p8	17	15	18	8	10	23	15	12	14	21	25	22	22	18	32	11	12	32	24	19	18	23	17	13	35	10	17	19	13	15	20	15	15	11	26	11	16	13	17	10	16	15	16	16	13	11	29	28	22	23	24	34	15	15	16	20	11	14	19	32	
p9	16	6	18	11	9	9	15	21	27	18	9	29	9	13	10	9	12	9	15	16	21	18	14	15	15	16	14	11	14	19	5	6	6	15	9	8	8	14	7	10	27	9	15	19	11	25	9	52	48	9	9	5	6	3	91	12	7	10	12	9	
p10	5	5	5	7	4	8	8	5	12	7	5	12	7	7	24	8	9	7	9	10	15	8	8	9	4	5	7	4	5	3	5	4	4	4	6	4	4	6	5	5	18	7	7	7	7	9	8	12	5	4	4	18	6	6	11	10	6	6	7	10	
