participant: 10 results file 
saved at: Mon Mar 21 14:35:57 2011
question 	 answer 	 time 
1	1	8
2	2	5
3	2	8
4	1	7
5	1	5
6	1	5
7	2	7
8	1	5
9	2	12
10	2	5
11	1	4
12	2	12
13	3	9
14	2	7
15	3	7
16	1	8
17	2	10
18	3	24
19	2	8
20	1	8
21	1	15
22	2	7
23	3	9
24	2	9
25	1	5
26	1	5
27	2	3
28	2	4
29	1	4
30	2	7
31	2	4
32	1	6
33	1	4
34	1	4
35	2	5
36	1	4
37	2	5
38	1	6
39	1	4
40	2	7
41	2	18
42	2	5
43	1	4
44	1	6
45	1	7
46	1	4
47	2	4
48	2	10
49	2	11
50	1	4
51	2	6
52	1	6
53	1	10
54	1	4
55	3	18
56	2	7
57	1	6
58	2	5
59	2	6
60	1	10
