quest 	 dataset 	 task 	 cond 	 anskey 	 answer 	 truefalse 	 time 
1	1	1	3	1	1	0	8
2	2	1	1	2	2	0	5
3	3	1	2	2	2	0	8
4	1	1	4	1	1	0	7
5	2	1	3	1	1	0	5
6	3	1	1	1	1	0	5
7	1	1	2	2	2	0	7
8	2	1	4	1	1	0	5
9	3	1	3	2	2	0	12
10	1	1	1	2	2	0	5
11	2	1	2	1	1	0	4
12	3	1	4	2	2	0	12
13	1	2	3	3	3	0	9
14	2	2	1	2	2	0	7
15	3	2	2	3	3	0	7
16	1	2	4	1	1	0	8
17	2	2	3	2	2	0	10
18	3	2	1	3	3	0	24
19	1	2	2	2	2	0	8
20	2	2	4	1	1	0	8
21	3	2	3	1	1	0	15
22	1	2	1	2	2	0	7
23	2	2	2	3	3	0	9
24	3	2	4	3	2	-1	9
25	1	3	3	1	1	0	5
26	2	3	1	1	1	0	5
27	3	3	2	2	2	0	3
28	1	3	4	2	2	0	4
29	2	3	3	1	1	0	4
30	3	3	1	2	2	0	7
31	1	3	2	2	2	0	4
32	2	3	4	1	1	0	6
33	3	3	3	1	1	0	4
34	1	3	1	2	1	-1	4
35	2	3	2	2	2	0	5
36	3	3	4	1	1	0	4
37	1	4	2	2	2	0	5
38	2	4	1	1	1	0	6
39	3	4	3	1	1	0	7
40	1	4	4	2	2	0	9
41	2	4	2	2	2	0	18
42	3	4	1	2	2	0	5
43	1	4	3	1	1	0	7
44	2	4	4	2	1	-1	8
45	3	4	2	1	1	0	7
46	1	4	1	1	1	0	4
47	2	4	3	2	2	0	7
48	3	4	4	2	2	0	12
49	1	5	3	2	2	0	11
50	2	5	1	3	1	0	4
51	3	5	2	2	2	0	6
52	1	5	4	1	1	0	6
53	2	5	3	1	1	0	10
54	3	5	1	1	1	0	4
55	1	5	2	3	3	0	18
56	2	5	4	2	2	0	7
57	3	5	3	1	1	0	6
58	1	5	1	2	2	0	5
59	2	5	2	2	2	0	6
60	3	5	4	1	1	0	10
