participant: 16 results file 
saved at: Tue Mar 22 22:18:30 2011
question 	 answer 	 time 
1	1	4
2	2	10
3	2	8
4	1	4
5	1	4
6	1	5
7	2	6
8	1	7
9	2	9
10	2	8
11	1	6
12	2	11
13	3	6
14	2	9
15	2	7
16	1	9
17	2	7
18	3	11
19	3	8
20	1	7
21	1	13
22	1	10
23	3	11
24	3	9
25	1	3
26	1	5
27	2	4
28	2	3
29	1	11
30	2	7
31	2	5
32	1	4
33	1	4
34	2	6
35	2	6
36	1	3
37	2	6
38	1	7
39	1	5
40	2	5
41	2	8
42	2	7
43	1	7
44	2	9
45	1	6
46	1	6
47	2	10
48	2	11
49	2	3
50	3	14
51	2	7
52	1	6
53	1	3
54	1	8
55	3	27
56	2	4
57	1	4
58	2	13
59	2	17
60	1	8
