participant: 6 results file 
saved at: Wed Mar 16 17:23:10 2011
question 	 answer 	 time 
1	1	10
2	2	10
3	2	12
4	3	13
5	1	9
6	1	17
7	2	24
8	1	23
9	2	16
10	2	18
11	1	51
12	2	19
13	3	13
14	3	13
15	2	12
16	1	21
17	2	15
18	3	13
19	3	22
20	1	19
21	1	17
22	2	13
23	3	36
24	2	23
25	1	15
26	1	12
27	2	11
28	2	11
29	1	9
30	2	17
31	2	25
32	1	31
33	1	11
34	2	38
35	2	49
36	1	5
37	2	17
38	1	14
39	1	20
40	2	22
41	2	17
42	2	11
43	1	8
44	2	12
45	1	21
46	1	20
47	2	25
48	2	12
49	3	91
50	1	15
51	2	11
52	1	13
53	1	20
54	1	6
55	2	53
56	2	18
57	1	12
58	3	48
59	2	21
60	1	20
