participant: 11 results file 
saved at: Mon Mar 21 15:42:01 2011
question 	 answer 	 time 
1	1	8
2	2	8
3	2	8
4	1	5
5	1	6
6	1	4
7	2	7
8	1	10
9	2	22
10	2	12
11	1	5
12	2	17
13	3	13
14	2	11
15	3	11
16	1	12
17	2	11
18	3	12
19	2	7
20	1	17
21	1	28
22	2	15
23	3	7
24	3	18
25	1	3
26	1	13
27	2	8
28	2	9
29	1	3
30	2	9
31	2	5
32	1	3
33	1	3
34	2	14
35	2	5
36	1	4
37	2	9
38	1	4
39	1	7
40	2	7
41	2	8
42	2	12
43	1	8
44	2	8
45	1	11
46	1	7
47	2	8
48	2	5
49	2	14
50	3	39
51	2	5
52	1	5
53	1	11
54	1	9
55	3	54
56	2	29
57	1	12
58	2	12
59	3	17
60	1	10
