participant: 12 results file 
saved at: Mon Mar 21 22:15:57 2011
question 	 answer 	 time 
1	1	10
2	2	12
3	2	13
4	1	16
5	1	9
6	1	7
7	2	14
8	1	20
9	2	28
10	2	16
11	1	16
12	2	20
13	3	15
14	2	10
15	3	19
16	3	20
17	2	12
18	3	11
19	2	19
20	3	29
21	2	33
22	2	14
23	3	16
24	3	30
25	1	7
26	1	6
27	2	21
28	2	8
29	1	9
30	2	10
31	2	15
32	1	6
33	1	4
34	2	7
35	2	16
36	1	8
37	2	9
38	1	8
39	1	11
40	2	11
41	2	28
42	2	15
43	1	10
44	2	18
45	1	26
46	1	14
47	2	21
48	2	9
49	2	29
50	1	38
51	2	37
52	1	18
53	1	23
54	1	12
55	3	39
56	2	10
57	1	16
58	2	30
59	3	44
60	1	26
