participant: 13 results file 
saved at: Tue Mar 22 11:28:00 2011
question 	 answer 	 time 
1	1	12
2	2	11
3	2	11
4	1	9
5	1	5
6	1	10
7	2	16
8	1	12
9	2	19
10	2	19
11	1	8
12	2	28
13	3	13
14	2	24
15	3	23
16	1	16
17	2	15
18	3	19
19	2	18
20	1	27
21	1	23
22	2	17
23	3	36
24	3	24
25	1	16
26	1	10
27	2	22
28	2	15
29	1	11
30	2	21
31	2	13
32	1	9
33	1	10
34	2	12
35	2	14
36	1	9
37	2	13
38	1	8
39	1	8
40	2	18
41	2	20
42	1	12
43	1	8
44	1	10
45	1	17
46	1	18
47	2	18
48	2	21
49	2	63
50	3	63
51	2	19
52	1	18
53	3	23
54	1	21
55	3	78
56	3	49
57	1	24
58	2	43
59	2	28
60	1	19
