participant: 3 results file 
saved at: Tue Mar 15 17:18:52 2011
question 	 answer 	 time 
1	1	18
2	2	14
3	2	12
4	1	8
5	1	11
6	1	7
7	2	15
8	1	11
9	2	19
10	2	12
11	1	11
12	2	17
13	1	22
14	2	14
15	3	9
16	1	35
17	2	21
18	2	14
19	2	9
20	1	11
21	3	39
22	1	15
23	3	13
24	3	12
25	1	5
26	1	5
27	2	8
28	2	10
29	1	12
30	2	10
31	2	9
32	1	14
33	1	12
34	2	20
35	2	6
36	1	12
37	2	21
38	1	23
39	1	13
40	2	23
41	2	29
42	2	22
43	1	20
44	1	14
45	1	31
46	1	23
47	2	14
48	2	19
49	3	67
50	3	41
51	2	61
52	1	59
53	1	38
54	1	20
55	3	51
56	2	45
57	3	60
58	3	41
59	3	26
60	1	14
