participant: 8 results file 
saved at: Sun Mar 20 13:23:12 2011
question 	 answer 	 time 
1	1	8
2	2	15
3	2	14
4	1	21
5	1	10
6	1	18
7	2	15
8	2	25
9	2	23
10	2	17
11	1	12
12	2	22
13	3	11
14	1	18
15	2	18
16	2	23
17	2	12
18	1	32
19	2	24
20	1	17
21	1	32
22	1	22
23	3	19
24	2	13
25	1	19
26	1	10
27	2	15
28	2	11
29	1	13
30	2	17
31	2	20
32	1	26
33	1	15
34	2	35
35	2	15
36	1	11
37	2	13
38	1	13
39	2	15
40	1	9
41	2	13
42	2	17
43	1	10
44	2	27
45	1	10
46	1	16
47	2	16
48	2	26
49	3	34
50	3	23
51	2	11
52	1	14
53	1	15
54	1	24
55	3	16
56	2	19
57	1	15
58	3	22
59	2	20
60	1	32
