participant: 9 results file 
saved at: Mon Mar 21 11:34:27 2011
question 	 answer 	 time 
1	1	15
2	2	9
3	2	18
4	1	18
5	1	21
6	1	9
7	2	16
8	1	9
9	2	27
10	2	11
11	1	6
12	2	29
13	3	15
14	2	12
15	3	10
16	1	18
17	2	16
18	3	9
19	2	9
20	1	14
21	1	21
22	2	9
23	3	13
24	2	15
25	1	5
26	1	14
27	2	14
28	2	15
29	1	6
30	2	19
31	2	15
32	1	9
33	1	6
34	2	11
35	2	16
36	1	8
37	2	10
38	1	16
39	1	7
40	2	23
41	2	27
42	2	8
43	1	8
44	1	7
45	1	9
46	1	12
47	2	14
48	2	50
49	2	91
50	1	6
51	2	9
52	1	10
53	1	12
54	1	3
55	2	48
56	2	12
57	1	7
58	2	5
59	2	9
60	1	9
