participant: 15 results file 
saved at: Tue Mar 22 15:59:30 2011
question 	 answer 	 time 
1	1	4
2	2	8
3	2	9
4	1	6
5	1	4
6	1	5
7	2	11
8	1	4
9	2	10
10	2	12
11	1	7
12	2	8
13	3	10
14	2	8
15	3	10
16	1	10
17	2	8
18	3	10
19	3	10
20	1	6
21	3	14
22	1	11
23	3	12
24	3	8
25	1	8
26	1	7
27	2	6
28	2	7
29	2	12
30	2	8
31	2	7
32	1	3
33	1	3
34	2	9
35	2	7
36	2	9
37	2	5
38	1	5
39	1	4
40	2	6
41	2	9
42	2	5
43	1	5
44	1	6
45	1	8
46	1	6
47	2	8
48	2	10
49	2	11
50	3	34
51	2	10
52	1	8
53	1	6
54	1	9
55	3	59
56	2	6
57	1	8
58	2	10
59	2	15
60	1	9
