participant: 4 results file 
saved at: Wed Mar 16 11:56:34 2011
question 	 answer 	 time 
1	1	45
2	2	24
3	2	17
4	3	63
5	1	30
6	1	14
7	2	18
8	1	11
9	2	38
10	2	21
11	1	15
12	2	24
13	3	18
14	2	12
15	3	24
16	1	31
17	2	20
18	3	18
19	2	14
20	1	31
21	1	45
22	2	28
23	3	31
24	3	23
25	1	11
26	1	8
27	2	14
28	2	7
29	1	11
30	2	31
31	2	20
32	1	12
33	1	9
34	2	12
35	2	20
36	1	14
37	2	15
38	1	14
39	1	13
40	2	17
41	2	29
42	2	12
43	1	14
44	1	16
45	1	25
46	1	15
47	2	17
48	2	82
49	2	15
50	3	29
51	2	46
52	1	12
53	1	11
54	1	19
55	3	67
56	2	10
57	1	18
58	3	93
59	2	18
60	1	14
