participant: 7 results file 
saved at: Fri Mar 18 12:23:02 2011
question 	 answer 	 time 
1	1	8
2	2	11
3	2	16
4	1	12
5	1	7
6	1	12
7	2	10
8	1	20
9	2	20
10	2	15
11	1	15
12	2	12
13	3	10
14	2	11
15	3	26
16	1	14
17	2	16
18	3	10
19	2	21
20	1	50
21	1	26
22	2	17
23	3	33
24	2	24
25	1	8
26	1	11
27	2	9
28	2	20
29	1	9
30	2	24
31	2	16
32	1	7
33	1	5
34	2	16
35	2	23
36	1	6
37	2	12
38	1	10
39	1	7
40	2	9
41	2	25
42	2	30
43	1	9
44	1	15
45	1	9
46	1	9
47	2	8
48	2	10
49	2	19
50	3	26
51	2	15
52	1	20
53	1	17
54	1	14
55	3	60
56	2	11
57	1	14
58	3	36
59	2	20
60	1	16
