participant: 1 results file 
saved at: Fri Mar 11 17:46:25 2011
question 	 answer 	 time 
1	2	35
2	1	15
3	1	9
4	2	19
5	1	14
6	2	19
7	1	12
8	1	14
9	2	13
10	2	29
11	1	9
12	2	14
13	2	9
14	3	10
15	2	42
16	3	13
17	1	14
18	2	43
19	2	36
20	1	11
21	2	15
22	2	15
23	3	22
24	1	16
25	1	8
26	2	15
27	2	21
28	1	28
29	1	12
30	2	39
31	2	14
32	1	21
33	1	11
34	1	27
35	2	22
36	2	30
37	2	15
38	1	30
39	2	10
40	2	24
41	2	8
42	1	15
43	1	11
44	2	24
45	2	18
46	1	22
47	1	12
48	1	9
49	3	158
50	1	44
51	2	33
52	2	31
53	3	125
54	1	31
55	3	42
56	2	18
57	1	18
58	2	55
59	2	21
60	1	15
