participant: 9 results file 
saved at: Mon Mar 21 11:53:34 2011
question 	 answer 	 time 
1	-1	0
2	-1	0
3	-1	0
4	-1	0
5	-1	0
6	-1	0
7	-1	0
8	-1	0
9	-1	0
10	-1	0
11	-1	0
12	-1	0
13	-1	0
14	-1	0
15	-1	0
16	-1	0
17	-1	0
18	-1	0
19	-1	0
20	-1	0
21	-1	0
22	-1	0
23	-1	0
24	-1	0
25	-1	0
26	-1	0
27	-1	0
28	-1	0
29	-1	0
30	-1	0
31	-1	0
32	-1	0
33	-1	0
34	-1	0
35	-1	0
36	-1	0
37	2	10
38	1	16
39	1	7
40	2	23
41	2	27
42	2	8
43	1	8
44	1	7
45	1	9
46	1	12
47	2	14
48	2	50
49	1	99
50	1	8
51	2	34
52	1	8
53	1	16
54	1	9
55	3	70
56	2	13
57	1	15
58	2	6
59	2	21
60	-1	0
